NDC,ATC,DRUG,DRUG_NAME_GENERIC
00406831562,N02A,Morphine SR (MS Contin),Morphine SR (MS Contin)
58177022204,C01D,Isosorbide Mononitrate,Isosorbide Mononitrate (Extended Release)
00456320563,N06D,Namenda,*NF* Memantine HCl
00536391301,H02A,Hydrocortisone,Hydrocortisone
00186108839,C07A,Metoprolol XL,Metoprolol XL
51079000420,A11G,Ascorbic Acid,Ascorbic Acid
00009076502,H02A,Methylprednisolone Na Succ,N/A
00087040303,G01A,Pediatric Vitamins ADC,Pediatric Vitamins ADC
55513014410,B03X,Epoetin Alfa,N/A
00002751001,A10A,Insulin,Humalog Insulin
00074419701,J01F,Clindamycin,N/A
00904208560,A11C,Vitamin A,Vitamin A
62856024541,N06D,Donepezil,Donepezil
00548301200,C05A,Lidocaine Jelly 2% (Urojet),Lidocaine Jelly 2% (Urojet)
00064065001,D01A,Miconazole Powder 2%,Miconazole Powder 2%
49884055001,N05A,Prochlorperazine,Prochlorperazine Maleate
49884094174,J02A,Fluconazole,Fluconazole
00172541310,J02A,Fluconazole,Fluconazole
63323024710,H03A,Levothyroxine Sodium,Levothyroxine Sodium
00517490525,H02A,Dexamethasone,Dexamethasone Sod Phosphate
00078008406,N02B,Butalbital-Acet-Caffeine,Butalbital-Acet-Caffeine
00074492834,A12A,Calcium Chloride,Calcium Chloride
00436515110,N/A,Magnesium Citrate,Magnesium Citrate
51079008320,J04A,Isoniazid,Isoniazid
00472128416,J01E,Sulfameth/Trimethoprim Suspension,Sulfameth/Trimethoprim Suspension
00054858516,N02A,Morphine ,Morphine Sulfate (Oral Soln.)
00597007506,R03B,Tiotropium Bromide,Tiotropium Bromide
24208073501,S01F,Cyclopentolate 1%,Cyclopentolate 1%
00065035902,S01G,Cyclopentolate-Phenylephrine,Cyclopentolate-Phenylephrine
00054121842,N07B,Methadone HCl,Methadone
24208091019,S01A,Erythromycin 0.5% Ophth Oint,Erythromycin 0.5% Ophth Oint
63402051224,N/A,Levalbuterol HCl,*NF* Levalbuterol Soln
00143120125,M04A,Colchicine,Colchicine
00074349201,A11G,Ascorbic Acid,Ascorbic Acid (Liquid)
00074163802,N05C,Dexmedetomidine HCl,N/A
00245008011,B05X,Zinc Sulfate,Zinc Sulfate
00002475977,B01A,Prasugrel,Prasugrel
10019017644,N02A,Morphine Sulfate,Morphine
51079098320,C09A,Lisinopril,Lisinopril
00071015892,C10A,Atorvastatin,Atorvastatin
00904580861,C09A,Lisinopril,Lisinopril
47682021701,N/A,Guaifenesin-Dextromethorphan,Guaifenesin-Dextromethorphan
00074780922,C01C,DopAmine,N/A
00168003830,C05A,*NF* Nitroglycerin Ointment,*NF* Nitroglycerin Ointment
00044182210,C08D,Verapamil HCl,Verapamil HCl
55390056510,N/A,Diltiazem,N/A
51079010720,N06A,Amitriptyline HCl,Amitriptyline HCl
00002751101,A10A,Insulin,Insulin Lispro 75/25
60793010401,H03B,Methimazole,Methimazole
00074909332,N01A,Fentanyl Citrate,Fentanyl Citrate
00049001383,J01C,Unasyn,N/A
00074228013,C09A,Trandolapril,Trandolapril
00338604537,J02A,Fluconazole,N/A
00641141035,C01A,Digoxin,Digoxin
00074492818,A12A,Calcium Chloride,Calcium Chloride
00456261490,C08D,Diltiazem Extended-Release,Diltiazem Extended-Release
00182504749,D07A,Orabase Dental Paste,Orabase Dental Paste
00436094616,D08A,Dakins 1/2 Strength,Dakins 1/2 Strength
61570011201,C09A,Ramipril,Ramipril
87701089415,N/A,Debrox 6.5%,Carbamide Peroxide 6.5%
51079081120,A10B,Glipizide,Glipizide
00002871501,A10A,Insulin,Insulin Human 70/30
55390016010,H01C,Octreotide Acetate,N/A
57706075560,S01E,Acetazolamide,Acetazolamide
00085117701,B01A,Eptifibatide,Eptifibatide
00024120301,C01C,Milrinone,N/A
00025145134,A02B,Misoprostol,Misoprostol
51079000720,A02B,Omeprazole,Omeprazole
51079008920,R06A,Meclizine,Meclizine
00409665106,B05X,Potassium Chloride,N/A
00074490223,V06D,Dextrose 50%,Dextrose 50%
00074130431,N02A,Hydromorphone,Hydromorphone
00168001131,D06A,Bacitracin Ointment,Bacitracin Ointment
25021011210,J01F,Azithromycin ,N/A
58177029311,C07A,Metoprolol Succinate XL,Metoprolol Succinate XL
58177023811,C01D,Isosorbide Mononitrate (Extended Release),Isosorbide Mononitrate (Extended Release)
53489036801,C08C,Felodipine,Felodipine
00904782231,D01A,Clotrimazole Cream,Clotrimazole Cream
00186033001,C05A,Lidocaine Jelly 2% (Urojet),Lidocaine Jelly 2% (Urojet)
49452477503,N/A,Miconazole Powder 2%,Miconazole Powder 2%
00884044904,D02A,Urea-C40,*NF* Urea 20 % Cream
00168005515,C05A,Betamethasone Dipro 0.05% Cream,Betamethasone Dipro 0.05% Cream
00029608031,J01C,Amoxicillin-Clavulanic Acid,Amoxicillin-Clavulanic Acid
65847020525,C01D,Nesiritide,N/A
00009017103,A10B,Glyburide,Glyburide
00071080540,N03A,Gabapentin,Gabapentin
00469087202,C01E,Adenosine,Adenosine
00044182310,C08D,Verapamil HCl,Verapamil HCl
10019001501,C07A,Esmolol,Esmolol
00039007810,C04A,Pentoxifylline,Pentoxifylline
00067014568,N02B,Aspirin,Aspirin (Buffered)
00002445385,N05A,Olanzapine (Disintegrating Tablet),Olanzapine (Disintegrating Tablet)
52604710201,N/A,Thrombin,Thrombin Topical
59762501601,J02A,Fluconazole,Fluconazole
00078018201,H01C,Octreotide Acetate,N/A
00085175502,J01M,Ciprofloxacin IV,N/A
00456261563,C08D,Diltiazem Extended-Release,Diltiazem Extended-Release
00054853516,A07D,Loperamide HCl,Loperamide HCl
11509021217,N/A,Cepacol (Menthol),Cepacol (Menthol)
10019063101,J01C,Unasyn,N/A
00078014923,H05B,Calcitonin Salmon,Calcitonin Salmon
00517040525,C01C,Phenylephrine HCl,N/A
00121053205,N05C,Chloral Hydrate (Syrup),Chloral Hydrate (Syrup)
00054834225,N05A,Haloperidol,Haloperidol
00029321121,N06A,Paroxetine HCl,Paroxetine HCl
00074621511,N03A,Divalproex Sodium,Divalproex Sodium
00074621411,N03A,Divalproex Sodium,Divalproex Sodium
51079075620,N04B,Carbidopa-Levodopa (25-100),Carbidopa-Levodopa (25-100)
61570011001,C09A,Ramipril,Ramipril
00006003121,M05B,Alendronate Sodium,Alendronate Sodium
00173013555,N06A,Bupropion SR,Bupropion SR
00456261663,C08D,Diltiazem Extended-Release,Diltiazem Extended-Release
00006095128,C09C,Losartan Potassium,Losartan Potassium
51079000222,N02B,Acetaminophen,Acetaminophen
00083002732,N03A,Carbamazepine,Carbamazepine
00009000602,N04B,Mirapex,*NF* Pramipexole
00002323560,N06A,Duloxetine,Duloxetine
58177032418,C01D,Nitroglycerin SL,Nitroglycerin SL
61958050101,J05A,Adefovir,*NF* Adefovir Dipivoxil
00074915701,B02B,NEO*SC*Phytonadione,NEO*SC*Phytonadione
00074118002,N02A,Meperidine,N/A
59772704701,C09A,Captopril,Captopril
50419015057,B01A,Lepirudin,N/A
00054828104,B03A,Ferrous Sulfate,Ferrous Sulfate (Liquid)
00054870725,N03A,Phenobarbital,Phenobarbital
10019021302,N01A,Propofol (Generic),Propofol (Generic)
51079032730,R05C,Guaifenesin,Guaifenesin
00283067902,C05A,Hurricaine Spray,Benzocaine 20% Spray
74300000300,C05A,Neo*Desitin Creamy,Neo*Desitin Creamy
00182074767,G01A,Multivitamin Liquid,Multivitamin Liquid
00026819636,B02A,Aprotinin (Bovine),Aprotinin
00074434673,B02A,Aminocaproic Acid,N/A
00436058532,N03A,Phenobarbital,Phenobarbital Elixir
16837086012,A02A,Aluminum Hydroxide Suspension,Aluminum Hydroxide
00168005615,C05A,Betamethasone Dipro 0.05% Oint,Betamethasone Dipro 0.05% Oint
60505260400,N05C,Zolpidem Tartrate,Zolpidem Tartrate
59762153005,C08C,Amlodipine,Amlodipine
00904521735,R01A,Oxymetazoline HCl,Oxymetazoline HCl
00056017475,B01A,Warfarin,Warfarin
65649030103,A07A,Rifaximin,*NF* Rifaximin
52544071601,P01B,Quinine Sulfate,Quinine Sulfate
00173046500,R03A,Salmeterol,Salmeterol
00173032188,R03A,Albuterol,Albuterol Inhaler
00071000740,N03A,Phenytoin,Phenytoin
00168005430,D01A,Nystatin Cream,Nystatin Cream
00186014001,N01B,Lidocaine 0.5%/Epinephrine,Lidocaine 0.5%/Epinephrine
54569463100,C01D,Nitroglycerin SL,Nitroglycerin SL
00071036524,N03A,Phenytoin,Phenytoin Sodium Extended
00045051372,N02A,Acetaminophen w/Codeine,Acetaminophen w/Codeine
10019002802,N05C,Midazolam HCl,Midazolam HCl
49452080001,N/A,Bacitracin,Orthopedic Solution
00008499002,J01A,Tigecycline,N/A
00409648201,J01F,Erythromycin,N/A
00338004901,B05X,0.9% Sodium Chloride,N/A
00338070948,B05X,Potassium Chloride,N/A
59730640201,A07X,Calcium Acetate,Calcium Acetate
54569138500,N/A,Tuberculin Protein,Tuberculin Protein
00766147010,N07B,Nicotine,Nicotine
55390006710,C01E,Adenosine,Adenosine
00469321110,J02A,Micafungin,N/A
51079077120,C07A,Carvedilol,Carvedilol
00074130401,N02A,Hydromorphone,Hydromorphone PCA
00074241421,N02A,Hydromorphone,Hydromorphone PCA
65649030105,A07A,Rifaximin,Rifaximin
00904552261,C02C,Doxazosin,Doxazosin
00009001201,H02A,Hydrocortisone,Hydrocortisone
00143125401,H02A,Hydrocortisone,Hydrocortisone
00904567761,N06A,Paroxetine,Paroxetine
00904344061,N02B,Hydrocodone-Acetaminophen,Hydrocodone-Acetaminophen
00008002707,R06A,Promethazine HCl,Promethazine HCl
00942064104,N/A,Citrate Dextrose 3% (ACD-A) CRRT,N/A
00062543001,G01A,Miconazole Nitrate Vaginal,Miconazole Nitrate (Combo Pack)
51079093120,C07A,Carvedilol,Carvedilol
00075062430,B01A,Enoxaparin Sodium,Enoxaparin Sodium
66582041428,C10A,Ezetimibe,Ezetimibe
55390014710,N05A,Haloperidol,Haloperidol
00378032701,N05A,Haloperidol,Haloperidol
51079097220,A10B,MetFORMIN (Glucophage),MetFORMIN (Glucophage)
51079087201,A10B,GlyBURIDE,GlyBURIDE
51079060420,J01D,Cephalexin,Cephalexin
00781345295,J01D,CefazoLIN,N/A
51079078720,C10A,Gemfibrozil,Gemfibrozil
64764045125,A10B,Pioglitazone HCl,Pioglitazone HCl
00591084501,A10B,Glipizide XL,Glipizide XL
00087277331,C09C,Irbesartan,*NF* Irbesartan
00074714811,H03A,Levothyroxine Sodium,Levothyroxine Sodium
00517750425,R05C,Acetylcysteine 20%,Acetylcysteine 20%
00517155025,B05X,Sodium Bicarbonate,N/A
00409427501,C01B,Lidocaine 0.5%,Lidocaine 0.5%
00409724803,B05A,Hespan,N/A
51079064420,M03B,Cyclobenzaprine HCl,Cyclobenzaprine HCl
50458030206,N05A,Risperidone,Risperidone
55390000401,H04A,Glucagon,Glucagon
00904041161,C07A,Propranolol,Propranolol
49884078253,M03B,Tizanidine HCl,Tizanidine HCl
00338012504,G01A,D5LR,N/A
37000002901,N/A,Psyllium Wafer,Psyllium Wafer
00363069338,A06A,Magnesium Citrate,Magnesium Citrate
00132000119,A06A,Fleet Enema,Fleet Enema
35356024832,S01X,cycloSPORINE,*NF* Cyclosporine 0.05% Ophth
00121050410,N02A,Acetaminophen w/Codeine Elixir,Acetaminophen w/Codeine Elixir
00173069504,R03B,Fluticasone-Salmeterol Diskus (100/50),Fluticasone-Salmeterol Diskus (100/50)
00054000725,A11C,Calcitriol,Calcitriol
54569009300,J01C,AMOXicillin Oral Susp.,AMOXicillin Oral Susp.
49999016850,J01C,AMOXicillin Oral Susp.,AMOXicillin Oral Susp.
00091440123,A06A,Golytely,Golytely
50458003405,N02A,Fentanyl Patch,Fentanyl Patch
63481062375,N02A,Oxycodone-Acetaminophen,Oxycodone-Acetaminophen
00703270403,N07A,Neostigmine,Neostigmine
00338601048,C01C,Milrinone,N/A
68094020462,A02B,Ranitidine,Ranitidine (Liquid)
00338604648,J02A,Fluconazole,N/A
11980018005,S01B,Prednisolone Acetate 1% Ophth. Susp.,Prednisolone Acetate 1% Ophth. Susp.
00006362835,S01E,Dorzolamide 2%/Timolol 0.5% Ophth.,Dorzolamide 2%/Timolol 0.5% Ophth.
52268010001,A06A,Golytely,Golytely
00075062160,B01A,Enoxaparin Sodium,Enoxaparin Sodium
63323002101,N05B,Hydroxyzine HCl,Hydroxyzine HCl
68084007001,J01M,Ciprofloxacin HCl,Ciprofloxacin HCl
00009513503,J01X,Linezolid,Linezolid
60505083404,J01D,CefePIME,N/A
52268020001,A06A,Calcium Acetate,Calcium Acetate
00074806201,N01A,Etomidate,Etomidate
00074662902,M03A,Succinylcholine,Succinylcholine
00338081104,G01A,Potassium Chl 20 mEq / 1000 mL D5LR,N/A
00056060128,N04B,Carbidopa-Levodopa CR (25-100),Carbidopa-Levodopa CR (25-100)
00603137859,A06A,Lactulose Enema,Lactulose Enema
63739027201,N02B,Aspirin EC,Aspirin EC
50383068304,N/A,Multivitamins,Multivitamins
00009513502,J01X,Linezolid,Linezolid
00206886202,J01C,Piperacillin-Tazobactam Na,N/A
49884085692,J05A,Ribavirin,Ribavirin
00029321013,N06A,Paroxetine HCl,Paroxetine HCl
51079045420,C10A,Simvastatin,Simvastatin
00603385521,C03A,Hydrochlorothiazide,Hydrochlorothiazide
00078042306,C09C,Valsartan,Valsartan
64764054411,A02B,Lansoprazole Oral Disintegrating Tab,Lansoprazole Oral Disintegrating Tab
54569241100,J01C,Ampicillin,Ampicillin
51079060120,J01C,Amoxicillin,Amoxicillin Trihydrate
00074258611,J01F,Clarithromycin,Clarithromycin
00225029515,A03B,L-Hyoscyamine,L-Hyoscyamine
00781340495,J01C,Ampicillin Sodium,N/A
17478071110,C05A,Lidocaine Jelly 2%,Lidocaine Jelly 2%
51079027820,C07A,Propranolol HCl,Propranolol HCl
00173064255,N03A,Lamotrigine,Lamotrigine
32909071503,N/A,Readi-Cat 2 (Barium Sulfate 2% Suspension),Readi-Cat 2 (Barium Sulfate 2% Suspension)
68084004501,N06A,Paroxetine,Paroxetine
68084004411,N06A,Paroxetine,Paroxetine
00009001104,H02A,Hydrocortisone Na Succ.,Hydrocortisone Na Succ
00409230801,N05C,Midazolam,Midazolam
67386071155,N/A,Chlorothiazide,Chlorothiazide Sodium
00002411733,N05A,Olanzapine,Olanzapine
53746027101,J01E,Sulfameth/Trimethoprim SS,Sulfameth/Trimethoprim SS
66479002356,B02A,Aminocaproic Acid,Aminocaproic Acid
00026285548,C08C,Nimodipine,Nimodipine
00186198904,R03B,Pulmicort,*NF* Budesonide Neb Solution
00078042315,C09C,Valsartan,Valsartan
00904567661,N06A,Paroxetine,Paroxetine
62856024641,N06D,Donepezil,Donepezil
00641243645,B01A,Heparin Flush PICC (100 units/ml),Heparin Flush
00053768002,B05A,Albumin 25% (12.5gm),Albumin 25% (12.5gm)
62037087130,A10B,GlipiZIDE XL,GlipiZIDE XL
00074227811,C09A,Trandolapril,Trandolapril
00168020437,C05A,Lidocaine 5% Ointment,Lidocaine 5% Ointment
00904198861,N02B,Acetaminophen,Acetaminophen
63739035410,A02A,Magnesium Oxide,Magnesium Oxide
65649030303,A07A,Rifaximin,Rifaximin
00409471332,C01B,Lidocaine 1%,Lidocaine 1% PF
00074909431,N01A,Fentanyl Citrate,N/A
00487590199,N/A,Racepinephrine,Racepinephrine
00069315083,J01F,Azithromycin ,N/A
00409212202,C09A,Enalaprilat,N/A
00517481025,N/A,Nitroglycerin,N/A
60793020505,B02B,Thrombin,Thrombin Topical
00182116189,C03C,Furosemide,Furosemide
00904585361,B03B,Ibuprofen,Ibuprofen
00245004101,A12B,Potassium Chloride,Potassium Chloride
00904571135,R01A,Oxymetazoline,Oxymetazoline
74312001370,B03B,Cyanocobalamin,Cyanocobalamin
00054874025,H02A,Prednisone,Prednisone
00003196501,J05A,Stavudine,Stavudine
17478093401,N/A,HydrALAzine,HydrALAzine
63323047401,N05A,Haloperidol,Haloperidol
00135019502,N07B,Nicotine Patch,Nicotine Patch
00904627861,N05A,Quetiapine Fumarate,Quetiapine Fumarate
51079073420,N05A,Haloperidol,Haloperidol
00904627761,N05A,Quetiapine Fumarate,Quetiapine Fumarate
00409405201,J01F,Clindamycin,N/A
00006095228,C09C,Losartan Potassium,Losartan Potassium
00143987310,C07A,Metoprolol Tartrate,Metoprolol Tartrate
00074259605,N05C,Midazolam HCl,Midazolam HCl
00456201001,N06A,Escitalopram Oxalate,Escitalopram Oxalate
00054834425,N05A,Haloperidol,Haloperidol
00004005850,N03A,Clonazepam,Clonazepam
78112001103,D08A,Chloraseptic Throat Spray,Chloraseptic Throat Spray
00149071001,J01X,Nitrofurantoin Monohyd (MacroBID),Nitrofurantoin Monohyd (MacroBID)
00904053061,N/A,Multivitamins,Multivitamins
00049002428,J01C,Unasyn,N/A
00074798301,B05X,NS,N/A
00074648101,J01F,Erythromycin Lactobionate,N/A
55513014810,B03X,Epoetin Alfa,Epoetin Alfa
00904282161,G04B,Oxybutynin,Oxybutynin
00074704101,C01C,Norepinephrine,N/A
00009014102,A10B,Glyburide,Glyburide
00074647844,J01F,Erythromycin,N/A
54569018100,J01X,Nitrofurantoin (Macrodantin),Nitrofurantoin (Macrodantin)
00007365021,C03E,Triamterene-Hydrochlorothiazide,Triamterene-Hydrochlorothiazide
00777310402,N06A,Fluoxetine HCl,Fluoxetine HCl
00168035755,C05A,Lidocaine-Prilocaine,Emla Cream
00409205105,N01A,Ketamine,Ketamine
00074159304,B05B,Tromethamine,N/A
00002755901,B01A,Drotrecogin Alfa (Xigris),N/A
50242008527,B01A,Alteplase,Alteplase
00074234632,C01C,DOBUTamine,N/A
00456261263,C08D,Diltiazem Extended-Release,Diltiazem Extended-Release
00074190301,C01B,Procainamide HCl,N/A
00115821101,G04C,Tamsulosin,Tamsulosin
00003196601,J05A,Stavudine,Stavudine
51479004601,J04A,Ethambutol HCl,Ethambutol HCl
51479004704,J04A,Ethambutol HCl,Ethambutol HCl
10135033063,B03B,Cyanocobalamin,Cyanocobalamin
50458093010,J01M,Levofloxacin,Levofloxacin
08489800001,N/A,Caphosol,Caphosol
24477001015,N/A,Gelclair,Gelclair
00074395977,J05A,Lopinavir-Ritonavir,Lopinavir-Ritonavir
00338050748,J01G,Gentamicin,N/A
00187310130,N07A,Neostigmine,Neostigmine (1:2000)
00074621702,C01B,Lidocaine,N/A
00006354120,A02B,Famotidine (IV),N/A
51079016120,N02A,Acetaminophen w/Codeine,Acetaminophen w/Codeine
50458092510,J01M,Levofloxacin,Levofloxacin
49884046565,C10A,Cholestyramine,Cholestyramine
63323020110,C01B,Lidocaine 1%,Lidocaine 1%
00074443705,M03A,Doxacurium Chloride,Doxacurium Chloride
00186116502,A12A,Calcium Chloride,Calcium Chloride
00641227741,H02A,Dexamethasone Sod Phosphate,N/A
00173067200,J05A,Amprenavir,Amprenavir
00008103006,L04A,Sirolimus,Sirolimus
00003196701,J05A,Stavudine,Stavudine
51079068520,C07A,Atenolol,Atenolol
00056047492,J05A,Efavirenz,Efavirenz
00173072100,J05A,Fosamprenavir,Fosamprenavir
00173066101,J05A,Abacavir Sulfate,Abacavir Sulfate
00338051141,J01G,Gentamicin,N/A
00064100001,D02A,Papain-Urea,*NF* Papain-urea Ointment
65649020175,G01A,MoviPrep,MoviPrep
00264958720,B01A,Heparin Sodium,N/A
51079052720,C03C,Furosemide,Furosemide
00310040260,R03D,Accolate,*NF* Zafirlukast
00904771961,N04B,Carbidopa-Levodopa (25-100),Carbidopa-Levodopa (25-100)
00071053240,C09A,Quinapril,Quinapril
00641049325,N03A,Phenytoin Sodium,N/A
50419010511,C07A,Sotalol HCl,Sotalol HCl
00093738201,N06A,Venlafaxine,Venlafaxine
00008083303,N06A,Venlafaxine XR,Venlafaxine XR
00074403101,B05B,Mannitol,N/A
00074438010,M03A,Cisatracurium Besylate,Cisatracurium Besylate
00002411560,N05A,Olanzapine,Olanzapine
74312000660,B03B,Cyanocobalamin,Cyanocobalamin
00182008601,A11H,Pyridoxine HCl,Pyridoxine HCl
54569035301,N05A,Prochlorperazine,Prochlorperazine (Rectal)
00009012101,C02D,Minoxidil,Minoxidil
00044182610,C08D,Verapamil SR,Verapamil SR
00009003101,H02A,Hydrocortisone,Hydrocortisone
00054001920,H02A,PredniSONE,PredniSONE
00781526664,A04A,Ondansetron ODT,Ondansetron ODT
54569391600,H01B,Vasopressin,N/A
00013110679,L01D,DOXOrubicin,N/A
00013746686,L01C,VinCRIStine,N/A
50242005306,L01X,Rituximab,N/A
51479005530,J01D,CefePIME,N/A
00071000724,N03A,Phenytoin Infatab,Phenytoin
68094050361,R02A,Ibuprofen,Ibuprofen Suspension
00904585461,R02A,Ibuprofen,Ibuprofen
63323036920,J01C,Ampicillin-Sulbactam,N/A
00143120101,M04A,Colchicine,Colchicine
00093910729,P02C,Mebendazole,Mebendazole
53905006504,J01G,Tobramycin Inhalation Soln,Tobramycin Inhalation Soln
00074621211,N03A,Divalproex Sodium,Divalproex Sodium
54569108800,D06B,Silver Sulfadiazine 1% Cream,Silver Sulfadiazine 1% Cream
68516521402,B05A,Albumin 5%,Albumin 5% (25g / 500mL)
00597010760,B01A,Dabigatran Etexilate,Dabigatran Etexilate
00781139313,N05A,Haloperidol,Haloperidol
00006362836,S01E,Dorzolamide 2%/Timolol 0.5% Ophth.,Dorzolamide 2%/Timolol 0.5% Ophth.
00245009101,N/A,Multivitamins W/minerals,Multivitamins W/minerals
51079028621,N05B,Diazepam,Diazepam
00781132813,N05B,Alprazolam,Alprazolam
50458031528,N05A,Risperidone (Disintegrating Tablet),Risperidone (Disintegrating Tablet)
59011010010,N02A,Oxycodone SR (OxyconTIN),Oxycodone SR (OxyconTIN)
59762503201,A10B,GlipiZIDE XL,GlipiZIDE XL
00078031905,A05A,Ursodiol,Ursodiol
00703095803,J01M,Ciprofloxacin,N/A
00078036864,J05A,Famciclovir,*NF* Famciclovir
00054856304,A03F,Metoclopramide,Metoclopramide HCl
00048102003,H03A,Levothyroxine Sodium,Levothyroxine Sodium
00074125830,N02A,Morphine Sulfate,Morphine Sulfate
51079098501,N05B,BusPIRone,BusPIRone
00781711455,N02A,Fentanyl Patch,Fentanyl Patch
00517481010,N/A,Nitroglycerin,N/A
00065026625,S01E,Travatan,*NF* Travoprost 0.004 % Ophth Soln
00089014910,N02B,Salsalate,Salsalate
00008070402,N06A,Venlafaxine,Venlafaxine
00069421030,G04B,Viagra,Sildenafil Citrate
00015322022,L01X,Cisplatin,N/A
00165005441,A02A,Magnesium Oxide,Magnesium Oxide
00054380563,V04C,Sodium Polystyrene Sulfonate,Sodium Polystyrene Sulfonate
00904563161,N03A,Gabapentin,Gabapentin
00008104110,L04A,Sirolimus,Sirolimus
00186033036,C05A,Lidocaine Jelly 2%,Lidocaine Jelly 2%
00168000715,D01A,Nystatin Ointment,Nystatin Ointment
59762501501,J02A,Fluconazole,Fluconazole
00048580601,C09A,Trandolapril,Trandolapril
00223176001,A12C,Sodium Chloride,Sodium Chloride
00004080085,J05A,Oseltamivir,Oseltamivir
51079081220,C07A,Nadolol,Nadolol
00024120020,N/A,Milrinone Lactate,N/A
00002717510,C01C,Dobutamine HCl,N/A
42002030001,C05A,Tucks Hemorrhoidal Oint 1%,Tucks Hemorrhoidal Oint 1%
59762501701,J02A,Fluconazole,Fluconazole
00641041425,N/A,Heparin (Preserv. Free),N/A
68084007965,N03A,Gabapentin,Gabapentin
87701071218,N/A,Cyanocobalamin,Cyanocobalamin
00078018103,H01C,Octreotide Acetate,N/A
00071400705,N03A,Fosphenytoin Sodium,Fosphenytoin Sodium
00078024115,L04A,CycloSPORINE (Sandimmune),CycloSPORINE (Sandimmune)
00078024015,L04A,CycloSPORINE (Sandimmune),CycloSPORINE (Sandimmune)
58160083501,J07B,Hepatitis A Vaccine,Hepatitis A Vaccine
00029152722,D06A,Mupirocin Cream 2%,Mupirocin Cream 2%
00006498100,J07B,Hepatitis B Vaccine,Hepatitis B Vaccine
58160087346,N/A,Influenza Virus Vaccine,Influenza Virus Vaccine
00074118069,N02A,Meperidine,Meperidine
63459010101,N06B,Modafinil,*NF* Modafinil
00008078102,N06A,Venlafaxine,Venlafaxine
00091370701,C09A,Moexipril HCl,Moexipril HCl
51079002420,C03B,Metolazone,Metolazone
00078027422,L04A,CycloSPORINE Modified (Neoral),Cyclosporine Modified (Neoral)
00078024615,L04A,CycloSPORINE Modified (Neoral),CycloSPORINE Modified (Neoral)
51079076820,N03A,Zonisamide,Zonisamide
00026285570,C08C,Nimodipine,Nimodipine
00046086881,G03C,Estrogens Conjugated,Estrogens Conjugated
10019055302,A04A,Scopolamine Patch,Scopolamine Patch
00591040701,C09A,Lisinopril,Lisinopril
63323039923,J01C,Ampicillin Sodium,N/A
00054008620,N05C,Zolpidem Tartrate,Zolpidem Tartrate
00591534710,M04A,Probenecid,Probenecid
00406206890,C10A,Simvastatin,Simvastatin
00143178701,N02B,Acetaminophen-Caff-Butalbital,Acetaminophen-Caff-Butalbital
00074115112,B01A,Heparin ,Heparin
00338004303,B05X,1/2 NS,N/A
51079095901,C02C,Doxazosin,Doxazosin
00029315818,A10B,Rosiglitazone Maleate,Rosiglitazone Maleate
51079002320,C03B,Metolazone,Metolazone
00904052560,A11G,Ascorbic Acid,Ascorbic Acid
51079019020,C01E,Indomethacin,Indomethacin
55390011010,J01A,Doxycycline Hyclate,N/A
08290003528,N/A,Syringe (Intrapleural),N/A
62175044214,A06A,Miralax,*NF* Polyethylene Glycol
00536337701,A03A,Dicyclomine,Dicyclomine
51079067005,L01B,Methotrexate,Methotrexate Sodium
54868438100,A10A,Insulin,Insulin Lispro 75/25
00002324030,N06A,Duloxetine,Duloxetine
00054852725,N05A,Lithium Carbonate,Lithium Carbonate
00182168189,C01E,Indomethacin,Indomethacin
00003161112,J05A,Entecavir,Entecavir
00032121001,A09A,Creon 10,Creon 10
00409672923,A12C,Magnesium Sulfate,N/A
68084003101,N06A,Nortriptyline,Nortriptyline HCl
00143988225,N03A,Phenytoin,Phenytoin Sodium
51079097120,N06A,Fluoxetine,Fluoxetine
00766150010,N07B,Nicotine Polacrilex,Nicotine Lozenge
00300154111,A02B,Lansoprazole,Lansoprazole
49281058905,J07A,MENINGOcoccal Conj Vaccine (Menactra),MENINGOcoccal Conj Vaccine (Menactra)
00172375910,C09A,Lisinopril,Lisinopril
08880950505,D06B,Silver Sulfadiazine 1% Cream,Silver Sulfadiazine 1% Cream
61703020431,R05C,Acetylcysteine 20%,Acetylcysteine 20%
61924018808,N/A,Sarna Lotion,Sarna Lotion
50458030001,N05A,Risperidone,Risperidone
00004026449,C03C,Torsemide,Torsemide
00078024815,L04A,CycloSPORINE Modified (Neoral),CycloSPORINE Modified (Neoral)
00548124000,B02B,Phytonadione,Phytonadione Oral Solution
00574703612,N02B,Aspirin,Aspirin (Rectal)
00074233326,N02A,Hydromorphone P.F.,N/A
00173037934,J01D,CeftazIDIME,N/A
54092018980,A07E,Mesalamine,Mesalamine
66993010702,R06A,Fexofenadine,Fexofenadine
00046086799,G03C,Estrogens Conjugated,Estrogens Conjugated
00173051700,B01A,Epoprostenol Na,N/A
51079013320,N06A,Amitriptyline HCl,Amitriptyline HCl
00182055789,C03A,Hydrochlorothiazide,Hydrochlorothiazide
00143988125,N03A,Phenytoin Sodium,N/A
67618015001,D08A,Povidone Iodine,Povidone Iodine 10%
00075291201,B01A,Enoxaparin Sodium,Enoxaparin Sodium
00065027105,S01G,Patanol,*NF* Olopatadine 0.1% Ophth Soln
58063070510,N07A,Salagen,*NF* Pilocarpine HCl
00172436310,N06A,Fluoxetine,Fluoxetine
00409915701,B02B,NEO*SC*Phytonadione,NEO*SC*Phytonadione
